amphoe,tambon,bhumjaithai_votes,total_valid_ballots,ratio
อำเภอห้วยคต,ตำบลทองหลาง,1169.0,3320.0,0.3521084337349398
อำเภอห้วยคต,ตำบลห้วยคต,687.0,1528.0,0.44960732984293195
อำเภอห้วยคต,ตำบลสุขฤทัย,0.0,0.0,0.0
อำเภอหนองฉาง,ตำบลเขาบางแกรก,1088.0,2689.0,0.4046113796950539
อำเภอหนองฉาง,ตำบลทุ่งโพ,1425.0,3412.0,0.4176436107854631
อำเภอหนองฉาง,ตำบลเขากวางทอง,1203.0,3133.0,0.38397701883179064
อำเภอลานสัก,ตำบลทุ่งนางาม,1260.0,3063.0,0.41136141038197843
อำเภอลานสัก,ตำบลป่าอ้อ,1624.0,3059.0,0.5308924485125858
อำเภอลานสัก,ตำบลลานสัก,793.0,2980.0,0.26610738255033556
อำเภอลานสัก,ตำบลประดู่ยืน,1159.0,2482.0,0.4669621273166801
อำเภอลานสัก,ตำบลระบำ,3347.0,5524.0,0.6059015206372194
อำเภอลานสัก,ตำบลน้ำรอบ,903.0,3600.0,0.25083333333333335
อำเภอบ้านไร่,ตำบลบ้านใหม่คลองเคียน,484.0,1355.0,0.35719557195571955
อำเภอบ้านไร่,ตำบลแก่นมะกรูด,322.0,1217.0,0.2645850451930978
อำเภอบ้านไร่,ตำบลคอกควาย,1697.0,3529.0,0.48087276848965715
อำเภอบ้านไร่,ตำบลเมืองการุ้ง,1020.0,2656.0,0.38403614457831325
อำเภอบ้านไร่,ตำบลทัพหลวง,1845.0,3994.0,0.4619429143715573
อำเภอบ้านไร่,ตำบลหนองบ่มกล้วย,602.0,1519.0,0.39631336405529954
อำเภอบ้านไร่,ตำบลบ้านบึง,577.0,1428.0,0.40406162464985995
อำเภอบ้านไร่,ตำบลหูช้าง,1126.0,2642.0,0.4261922785768357
อำเภอบ้านไร่,ตำบลบ้านไร่,1512.0,3232.0,0.46782178217821785
อำเภอบ้านไร่,ตำบลวังหิน,516.0,1321.0,0.3906131718395155
อำเภอบ้านไร่,ตำบลห้วยแห้ง,911.0,2331.0,0.3908193908193908
อำเภอบ้านไร่,ตำบลเจ้าวัด,700.0,1851.0,0.37817396002160997
อำเภอบ้านไร่,ตำบลหนองจอก,1186.0,2598.0,0.4565050038491147
