,Party,sent_pm_district_ratio,sent_pm_partylist_ratio,social_media_followers_scaled,branch_scaled,representative_scaled,member_scaled,trends_scaled,past_pm,KMeans_Cluster,PCA_Index,small
0,กรีน,0.005,0.12,0.6520961500943546,0.23333333333333334,0.0410958904109589,0.49313963584804454,0.00648508430609598,0.0,2,0.13735486199378039,1.0
1,กล้าธรรม,0.835,1.0,0.8364101159933948,0.2,0.958904109589041,1.0,0.3735408560311284,1.0,1,0.9009382453480446,0.0
2,ก้าวอิสระ,0.015,0.15,0.6689569957099238,0.0,0.0,0.0,0.0,0.0,2,0.10032285299110491,1.0
3,ครูไทยเพื่อประชาชน,0.0025,0.22,0.0,0.2,0.0410958904109589,0.5980359382403742,0.0,0.0,0,0.05268477235041532,1.0
4,คลองไทย,0.005,0.16,0.5208133444779541,0.13333333333333333,0.0,0.6966213872509285,0.0,0.0,2,0.12538757396580427,1.0
5,ความหวังใหม่,0.0025,0.08,0.0,0.16666666666666666,0.0273972602739726,0.49909888364798627,0.0038910505836575876,0.0,0,0.018355096479306235,1.0
6,ทางเลือกใหม่,0.1075,0.2,0.5962480016937025,0.8333333333333334,0.0410958904109589,0.7047196807692203,0.0609597924773022,0.0,2,0.19739007581844117,0.0
7,ท้องที่ไทย,0.005,0.08,0.0,0.16666666666666666,0.0273972602739726,0.5334637838939741,0.0,0.0,0,0.0206184114500755,1.0
8,ประชากรไทย,0.105,0.18,0.6537298183973363,0.5,0.273972602739726,0.6160656549898664,0.016861219195849545,0.0,2,0.22361037263947026,0.0
9,ประชาชน,1.0,0.99,0.9665781713880786,0.2,0.9726027397260274,0.8931596996497023,0.7561608300907912,1.0,1,0.9864398374202658,0.0
10,ประชาชาติ,0.0375,0.37,0.8382936958561323,0.36666666666666664,0.0410958904109589,0.6744620847544885,0.2788586251621271,0.0,2,0.26342088576987693,0.0
11,ประชาธิปัตย์,1.0,0.98,1.0,1.0,0.7123287671232876,0.7831111724995574,0.7496757457846952,1.0,1,0.959514668218961,0.0
12,ประชาธิปไตยใหม่,0.175,0.21,0.35923199941913053,0.5333333333333333,0.2191780821917808,0.8074953380948074,0.0025940337224383916,0.0,2,0.19509019931910418,0.0
13,ประชาอาสาชาติ,0.0025,0.03,0.3131884612777914,0.13333333333333333,0.0547945205479452,0.38776727083961354,0.0,0.0,0,0.057109073053527463,1.0
14,ประชาไทย,0.0025,0.09,0.0,0.23333333333333334,0.0684931506849315,0.5242035536928964,0.00648508430609598,0.0,0,0.031201716341358883,1.0
