,Amphoe,Tambon,Unit,Suspect
0,ล่วงหน้าในเขต,N/A,N/A,0.0
1,อำเภอบ้านไร่,ตำบลคอกควาย,หน่วยเลือกตั้งที่ 1,0.0
2,อำเภอบ้านไร่,ตำบลคอกควาย,หน่วยเลือกตั้งที่ 10,0.0
3,อำเภอบ้านไร่,ตำบลคอกควาย,หน่วยเลือกตั้งที่ 11,0.0
4,อำเภอบ้านไร่,ตำบลคอกควาย,หน่วยเลือกตั้งที่ 12,0.0
5,อำเภอบ้านไร่,ตำบลคอกควาย,หน่วยเลือกตั้งที่ 13,1.0
6,อำเภอบ้านไร่,ตำบลคอกควาย,หน่วยเลือกตั้งที่ 14,0.0
7,อำเภอบ้านไร่,ตำบลคอกควาย,หน่วยเลือกตั้งที่ 15,0.0
8,อำเภอบ้านไร่,ตำบลคอกควาย,หน่วยเลือกตั้งที่ 16,0.0
9,อำเภอบ้านไร่,ตำบลคอกควาย,หน่วยเลือกตั้งที่ 2,0.0
10,อำเภอบ้านไร่,ตำบลคอกควาย,หน่วยเลือกตั้งที่ 3,0.0
11,อำเภอบ้านไร่,ตำบลคอกควาย,หน่วยเลือกตั้งที่ 4,0.0
12,อำเภอบ้านไร่,ตำบลคอกควาย,หน่วยเลือกตั้งที่ 5,0.0
13,อำเภอบ้านไร่,ตำบลคอกควาย,หน่วยเลือกตั้งที่ 6,0.0
14,อำเภอบ้านไร่,ตำบลคอกควาย,หน่วยเลือกตั้งที่ 7,0.0
15,อำเภอบ้านไร่,ตำบลคอกควาย,หน่วยเลือกตั้งที่ 8,0.0
16,อำเภอบ้านไร่,ตำบลคอกควาย,หน่วยเลือกตั้งที่ 9,0.0
17,อำเภอบ้านไร่,ตำบลทัพหลวง,หน่วยเลือกตั้งที่ 1,0.0
18,อำเภอบ้านไร่,ตำบลทัพหลวง,หน่วยเลือกตั้งที่ 10,0.0
19,อำเภอบ้านไร่,ตำบลทัพหลวง,หน่วยเลือกตั้งที่ 11,0.0
20,อำเภอบ้านไร่,ตำบลทัพหลวง,หน่วยเลือกตั้งที่ 12,0.0
21,อำเภอบ้านไร่,ตำบลทัพหลวง,หน่วยเลือกตั้งที่ 13,1.0
22,อำเภอบ้านไร่,ตำบลทัพหลวง,หน่วยเลือกตั้งที่ 14,0.0
23,อำเภอบ้านไร่,ตำบลทัพหลวง,หน่วยเลือกตั้งที่ 15,0.0
24,อำเภอบ้านไร่,ตำบลทัพหลวง,หน่วยเลือกตั้งที่ 2,0.0
25,อำเภอบ้านไร่,ตำบลทัพหลวง,หน่วยเลือกตั้งที่ 3,0.0
26,อำเภอบ้านไร่,ตำบลทัพหลวง,หน่วยเลือกตั้งที่ 4,0.0
27,อำเภอบ้านไร่,ตำบลทัพหลวง,หน่วยเลือกตั้งที่ 5,0.0
28,อำเภอบ้านไร่,ตำบลทัพหลวง,หน่วยเลือกตั้งที่ 6,0.0
29,อำเภอบ้านไร่,ตำบลทัพหลวง,หน่วยเลือกตั้งที่ 7,0.0
30,อำเภอบ้านไร่,ตำบลทัพหลวง,หน่วยเลือกตั้งที่ 8,0.0
31,อำเภอบ้านไร่,ตำบลทัพหลวง,หน่วยเลือกตั้งที่ 9,1.0
32,อำเภอบ้านไร่,ตำบลบ้านบึง,หน่วยเลือกตั้งที่ 1,0.0
33,อำเภอบ้านไร่,ตำบลบ้านบึง,หน่วยเลือกตั้งที่ 2,0.0
34,อำเภอบ้านไร่,ตำบลบ้านบึง,หน่วยเลือกตั้งที่ 3,0.0
35,อำเภอบ้านไร่,ตำบลบ้านบึง,หน่วยเลือกตั้งที่ 4,0.0
36,อำเภอบ้านไร่,ตำบลบ้านบึง,หน่วยเลือกตั้งที่ 5,0.0
37,อำเภอบ้านไร่,ตำบลบ้านบึง,หน่วยเลือกตั้งที่ 6,0.0
38,อำเภอบ้านไร่,ตำบลบ้านบึง,หน่วยเลือกตั้งที่ 7,0.0
39,อำเภอบ้านไร่,ตำบลบ้านใหม่คลองเคียน,หน่วยเลือกตั้งที่ 1,0.0
40,อำเภอบ้านไร่,ตำบลบ้านใหม่คลองเคียน,หน่วยเลือกตั้งที่ 2,0.0
41,อำเภอบ้านไร่,ตำบลบ้านใหม่คลองเคียน,หน่วยเลือกตั้งที่ 3,1.0
42,อำเภอบ้านไร่,ตำบลบ้านใหม่คลองเคียน,หน่วยเลือกตั้งที่ 4,0.0
43,อำเภอบ้านไร่,ตำบลบ้านใหม่คลองเคียน,หน่วยเลือกตั้งที่ 5,0.0
44,อำเภอบ้านไร่,ตำบลบ้านใหม่คลองเคียน,หน่วยเลือกตั้งที่ 6,1.0
45,อำเภอบ้านไร่,ตำบลบ้านใหม่คลองเคียน,หน่วยเลือกตั้งที่ 7,1.0
46,อำเภอบ้านไร่,ตำบลบ้านใหม่คลองเคียน,หน่วยเลือกตั้งที่ 8,1.0
47,อำเภอบ้านไร่,ตำบลบ้านไร่,หน่วยเลือกตั้งที่ 1,0.0
48,อำเภอบ้านไร่,ตำบลบ้านไร่,หน่วยเลือกตั้งที่ 10,0.0
49,อำเภอบ้านไร่,ตำบลบ้านไร่,หน่วยเลือกตั้งที่ 11,0.0
50,อำเภอบ้านไร่,ตำบลบ้านไร่,หน่วยเลือกตั้งที่ 2,0.0
