party,year,seats,votes,vote_pct
People's Party,2026,120,11043309,30.56
Bhumjaithai Party,2026,192,6468073,17.9
Pheu Thai Party,2026,74,5575456,15.43
Democrat Party,2026,21,3941928,10.91
Economic Party,2026,3,1133055,3.14
United Thai Nation Party,2026,2,766078,2.12
Pheu Chart Thai Party,2026,2,680256,1.88
Kla Tham Party,2026,58,648662,1.79
Ruam Jai Thai Party,2026,1,435225,1.2
Prachachat Party,2026,5,428848,1.19
New Party,2026,1,314430,0.87
Thai Sub Thawee Party,2026,1,305565,0.85
New Democracy Party,2026,1,256221,0.71
New Dimension Party,2026,1,247365,0.68
Thai Pakdee Party,2026,1,246823,0.68
Thai Sang Thai Party,2026,2,202626,0.56
United People's Power Party,2026,1,197510,0.55
Thai Liberal Party,2026,1,185705,0.51
New Alternative Party,2026,1,171061,0.47
Thai Ruam Palang Party,2026,6,166723,0.46
Palang Pracharath Party,2026,5,141082,0.39
Movement Party,2026,0,117078,0.32
Thai Kao Mai Party,2026,0,109579,0.3
New Palangdharma Party,2026,0,90255,0.25
New Opportunity Party,2026,1,80103,0.22
Power Thai Party,2026,0,72193,0.2
Thai Citizen Party,2026,0,70567,0.2
Rak Chart Party,2026,0,68592,0.19
Thai Population Party,2026,0,64251,0.18
Thai Prompt Party,2026,0,61958,0.17
Futurise Thailand Party,2026,0,59873,0.17
Thai Teachers for People Party,2026,0,56224,0.16
Nation Building Labour Party,2026,0,54437,0.15
Thaichana Party,2026,0,52192,0.14
Thai Progress Party,2026,0,50880,0.14
Party of Thai Counties,2026,0,47044,0.13
Vision Mai Party,2026,0,43439,0.12
Klong Thai Party,2026,0,37062,0.1
Fair Party,2026,0,40509,0.11
Thailand's Future Party,2026,0,30341,0.08
Thai People's Party,2026,0,28458,0.08
Party for the Country,2026,0,24668,0.07
Green Party,2026,0,24193,0.07
Palang Thai Rak Chart Party,2026,0,22321,0.06
Thai Morality Party,2026,0,21838,0.06
Thai Social Democratic Party,2026,0,19637,0.05
Independent Party,2026,0,17890,0.05
Promp Party,2026,0,17657,0.05
Phue Cheevit Mai Party,2026,0,14115,0.04
Land of Dharma Party,2026,0,14046,0.04
Fusion Party,2026,0,13253,0.04
Plung Sungkom Mai Party,2026,0,11756,0.03
New Aspiration Party,2026,0,9517,0.03
Farmer Network of Thailand Party,2026,0,9092,0.03
Thai Ruam Thai Party,2026,0,8132,0.02
Thai Nation's People Volunteer Party,2026,0,5766,0.02
Thai Pitak Tham Party,2026,0,5662,0.02
Move Forward Party,2023,151,14438851,37.99
Pheu Thai Party,2023,141,10962522,28.84
United Thai Nation Party,2023,36,4766408,12.54
Bhumjaithai Party,2023,71,1138202,2.99
Democrat Party,2023,25,925349,2.43
Prachachat Party,2023,9,602645,1.59
Palang Pracharath Party,2023,40,537625,1.41
Thai Liberal Party,2023,1,351376,0.92
Thai Sang Thai Party,2023,6,340178,0.9
New Democracy Party,2023,1,273428,0.72
New Party,2023,1,249731,0.66
Chart Pattana Kla Party,2023,2,212676,0.56
Party of Thai Counties,2023,1,201411,0.53
Chartthaipattana Party,2023,10,192497,0.51
Fair Party,2023,1,184817,0.49
New Social Power Party,2023,1,177379,0.47
Thai Teachers for People Party,2023,1,175182,0.46
Power Party,2023,0,156493,0.41
